,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2024-02-14,13:24:39.744,  150.95,  205.49,  537.10,  396.33,,,,,  688.05,  601.82,1989170582, 1289.87,  216.42,    9.67,  213.32,    6.50,,,,,  429.74,   16.17,1989410183,  445.90,   1117.79,    617.98,   1735.78
2024-02-14,13:24:40.744,  160.21,  218.35,  571.49,  421.67,,,,,  731.69,  640.02,2133455154, 1371.71,  218.12,    5.64,  215.51,    2.24,,,,,  433.63,    7.87,2133553749,  441.51,   1165.32,    647.89,   1813.22
2024-02-14,13:24:41.744,  158.09,  213.97,  566.04,  416.05,,,,,  724.12,  630.02,2133161703, 1354.14,  209.19,    5.14,  206.77,    1.76,,,,,  415.96,    6.90,2133142005,  422.86,   1140.08,    636.91,   1777.00
2024-02-14,13:24:42.744,  156.81,  211.91,  562.60,  413.36,,,,,  719.41,  625.27,2133181391, 1344.68,  206.82,    5.51,  204.89,    2.10,,,,,  411.71,    7.61,2133066917,  419.32,   1131.12,    632.88,   1764.00
2024-02-14,13:24:43.744,  154.30,  209.90,  555.27,  409.28,,,,,  709.57,  619.17,2132962945, 1328.74,  206.54,    5.68,  205.26,    2.29,,,,,  411.80,    7.97,2132909092,  419.77,   1121.37,    627.14,   1748.52
2024-02-14,13:24:44.745,  155.15,  209.42,  557.48,  409.56,,,,,  712.62,  618.99,2135020543, 1331.61,  215.73,    7.77,  214.04,    4.40,,,,,  429.77,   12.16,2134957960,  441.93,   1142.39,    631.15,   1773.54
2024-02-14,13:24:45.744,  152.60,  207.52,  550.54,  405.80,,,,,  703.14,  613.32,2132888359, 1316.46,  215.59,    5.44,  212.56,    2.07,,,,,  428.15,    7.51,2132804051,  435.66,   1131.29,    620.82,   1752.11
2024-02-14,13:24:46.744,  151.96,  219.52,  544.06,  415.01,,,,,  696.02,  634.53,2132663225, 1330.55,  258.78,   24.83,  254.72,   21.30,,,,,  513.50,   46.13,2132660622,  559.64,   1209.52,    680.67,   1890.19
2024-02-14,13:24:47.744,  136.80,  199.61,  495.26,  380.89,,,,,  632.06,  580.50,2132756171, 1212.56,  224.59,    6.09,  221.99,    2.70,,,,,  446.58,    8.79,2132930128,  455.37,   1078.64,    589.29,   1667.93
2024-02-14,13:24:48.745,  138.72,  201.89,  502.68,  385.51,,,,,  641.40,  587.41,2135026756, 1228.81,  218.01,    5.76,  214.78,    2.40,,,,,  432.79,    8.16,2134970142,  440.95,   1074.19,    595.56,   1669.76
2024-02-14,13:24:49.745,  137.27,  199.96,  498.16,  382.72,,,,,  635.42,  582.68,2132833098, 1218.10,  214.02,    5.76,  210.27,    2.38,,,,,  424.28,    8.15,2132814199,  432.43,   1059.70,    590.83,   1650.53
